date,narc
2010-01-01, 620
2010-02-01, 576
2010-03-01, 679
2010-04-01, 636
2010-05-01, 671
2010-06-01, 680
2010-07-01, 736
2010-08-01, 729
2010-09-01, 576
2010-10-01, 604
2010-11-01, 638
2010-12-01, 593
2011-01-01, 599
2011-02-01, 532
2011-03-01, 579
2011-04-01, 621
2011-05-01, 603
2011-06-01, 539
2011-07-01, 603
2011-08-01, 580
2011-09-01, 554
2011-10-01, 503
2011-11-01, 485
2011-12-01, 477
2012-01-01, 583
2012-02-01, 509
2012-03-01, 475
2012-04-01, 480
2012-05-01, 637
2012-06-01, 548
2012-07-01, 561
2012-08-01, 533
2012-09-01, 518
2012-10-01, 478
2012-11-01, 514
2012-12-01, 520
2013-01-01, 593
2013-02-01, 547
2013-03-01, 564
2013-04-01, 561
2013-05-01, 596
2013-06-01, 541
2013-07-01, 584
2013-08-01, 504
2013-09-01, 558
2013-10-01, 513
2013-11-01, 512
2013-12-01, 514
2014-01-01, 522
2014-02-01, 484
2014-03-01, 555
2014-04-01, 609
2014-05-01, 582
2014-06-01, 464
2014-07-01, 481
2014-08-01, 555
2014-09-01, 471
2014-10-01, 551
2014-11-01, 443
2014-12-01, 527
2015-01-01, 531
2015-02-01, 496
2015-03-01, 505
2015-04-01, 515
2015-05-01, 468
2015-06-01, 533
2015-07-01, 489
2015-08-01, 483
2015-09-01, 484
2015-10-01, 499
2015-11-01, 451
2015-12-01, 494
2016-01-01, 597
2016-02-01, 567
2016-03-01, 566
2016-04-01, 497
2016-05-01, 470
2016-06-01, 493
2016-07-01, 534
2016-08-01, 554
2016-09-01, 537
2016-10-01, 518
2016-11-01, 515
2016-12-01, 564