date,rev
2004-01-01 00:00:00,20856136
2005-01-01 00:00:00,21823765
2006-01-01 00:00:00,23826894
2007-01-01 00:00:00,24220060
2008-01-01 00:00:00,26893536
2009-01-01 00:00:00,29577705
2010-01-01 00:00:00,30169835
2011-01-01 00:00:00,33758205
2012-01-01 00:00:00,36510830
2013-01-01 00:00:00,39741416
2014-01-01 00:00:00,44612801
2015-01-01 00:00:00,49503490
2016-01-01 00:00:00,54056665
2004-02-01 00:00:00,21529571
2005-02-01 00:00:00,23355774
2006-02-01 00:00:00,24882198
2007-02-01 00:00:00,27467677
2008-02-01 00:00:00,31103293
2009-02-01 00:00:00,29850235
2010-02-01 00:00:00,31552563
2011-02-01 00:00:00,34916382
2012-02-01 00:00:00,39160666
2013-02-01 00:00:00,42725362
2014-02-01 00:00:00,46419019
2015-02-01 00:00:00,50270846
2016-02-01 00:00:00,55433664
2004-03-01 00:00:00,24145917
2005-03-01 00:00:00,26533237
2006-03-01 00:00:00,29816790
2007-03-01 00:00:00,34524833
2008-03-01 00:00:00,35599005
2009-03-01 00:00:00,35628223
2010-03-01 00:00:00,40342879
2011-03-01 00:00:00,47612784
2012-03-01 00:00:00,56705864
2013-03-01 00:00:00,61362156
2014-03-01 00:00:00,65487210
2015-03-01 00:00:00,68271907
2016-03-01 00:00:00,69443369
1999-04-01 00:00:00,23304
2004-04-01 00:00:00,23209650
2005-04-01 00:00:00,26063171
2006-04-01 00:00:00,26517974
2007-04-01 00:00:00,28843540
2008-04-01 00:00:00,31608985
2009-04-01 00:00:00,32520986
2010-04-01 00:00:00,35842579
2011-04-01 00:00:00,41971779
2012-04-01 00:00:00,42477455
2013-04-01 00:00:00,48685372
2014-04-01 00:00:00,52165105
2015-04-01 00:00:00,57439692
2016-04-01 00:00:00,66585908
2004-05-01 00:00:00,23915109
2005-05-01 00:00:00,25224723
2006-05-01 00:00:00,26982189
2007-05-01 00:00:00,31548336
2008-05-01 00:00:00,34413577
2009-05-01 00:00:00,34714073
2010-05-01 00:00:00,36950516
2011-05-01 00:00:00,40126891
2012-05-01 00:00:00,44065782
2013-05-01 00:00:00,51266513
2014-05-01 00:00:00,55804372
2015-05-01 00:00:00,62157774
2016-05-01 00:00:00,61378954
2004-06-01 00:00:00,22366682
2005-06-01 00:00:00,24173360
2006-06-01 00:00:00,26920186
2007-06-01 00:00:00,30834261
2008-06-01 00:00:00,31899006
2009-06-01 00:00:00,30918530
2010-06-01 00:00:00,33450470
2011-06-01 00:00:00,37730155
2012-06-01 00:00:00,43314224
2013-06-01 00:00:00,46926218
2014-06-01 00:00:00,51332754
2015-06-01 00:00:00,53287983
2016-06-01 00:00:00,56607296
2004-07-01 00:00:00,23426177
2005-07-01 00:00:00,25159649
2006-07-01 00:00:00,26235527
2007-07-01 00:00:00,28584120
2008-07-01 00:00:00,30328913
2009-07-01 00:00:00,31834652
2010-07-01 00:00:00,35665842
2011-07-01 00:00:00,39083858
2012-07-01 00:00:00,40460352
2013-07-01 00:00:00,44416838
2014-07-01 00:00:00,48564453
2015-07-01 00:00:00,54664708
2016-07-01 00:00:00,57906674
2004-08-01 00:00:00,21263348
2005-08-01 00:00:00,23423634
2006-08-01 00:00:00,25410261
2007-08-01 00:00:00,29689621
2008-08-01 00:00:00,32203009
2009-08-01 00:00:00,31448563
2010-08-01 00:00:00,32909667
2011-08-01 00:00:00,36468779
2012-08-01 00:00:00,41601879
2013-08-01 00:00:00,47608116
2014-08-01 00:00:00,52093023
2015-08-01 00:00:00,54276150
2016-08-01 00:00:00,53484914
2004-09-01 00:00:00,22846875
2005-09-01 00:00:00,25028591
2006-09-01 00:00:00,29922009
2007-09-01 00:00:00,31274460
2008-09-01 00:00:00,30875799
2009-09-01 00:00:00,31433048
2010-09-01 00:00:00,34799918
2011-09-01 00:00:00,40460221
2012-09-01 00:00:00,42441229
2013-09-01 00:00:00,46163700
2014-09-01 00:00:00,48002132
2015-09-01 00:00:00,54420608
2016-09-01 00:00:00,60219361
2004-10-01 00:00:00,24065365
2005-10-01 00:00:00,26039747
2006-10-01 00:00:00,26372320
2007-10-01 00:00:00,30574667
2008-10-01 00:00:00,33031963
2009-10-01 00:00:00,34342133
2010-10-01 00:00:00,37833879
2011-10-01 00:00:00,41458664
2012-10-01 00:00:00,43848914
2013-10-01 00:00:00,48633034
2014-10-01 00:00:00,55809521
2015-10-01 00:00:00,61062128
2016-10-01 00:00:00,63296338
2004-11-01 00:00:00,21356082
2005-11-01 00:00:00,23133451
2006-11-01 00:00:00,25602635
2007-11-01 00:00:00,28524500
2008-11-01 00:00:00,29630797
2009-11-01 00:00:00,29211401
2010-11-01 00:00:00,32546348
2011-11-01 00:00:00,36743895
2012-11-01 00:00:00,44189954
2013-11-01 00:00:00,53575187
2014-11-01 00:00:00,51297286
2015-11-01 00:00:00,51750881
2016-11-01 00:00:00,53827574
2004-12-01 00:00:00,23156120
2005-12-01 00:00:00,25384285
2006-12-01 00:00:00,28927550
2007-12-01 00:00:00,31247116
2008-12-01 00:00:00,30552626
2009-12-01 00:00:00,30721018
2010-12-01 00:00:00,35785704
2011-12-01 00:00:00,39700146
2012-12-01 00:00:00,44611632
2013-12-01 00:00:00,46713088
2014-12-01 00:00:00,50836014
2015-12-01 00:00:00,55911368